Course Name,Semester,Credits,Score(100),Score(4.0),Compulsory,Major
生命科学发展史,1 ,2.00 ,95.00 ,4.00 ,0 ,0 
程序设计思想与方法,1 ,3.00 ,95.00 ,4.00 ,1 ,1 
思想道德修养与法律基础,1 ,3.00 ,95.00 ,4.00 ,1 ,0 
工程实践与科技创新I,1 ,2.00 ,93.00 ,4.00 ,1 ,0 
体育(1),1 ,1.00 ,92.00 ,4.00 ,1 ,0 
大学基础英语(1),1 ,3.00 ,90.00 ,4.00 ,1 ,0 
军事理论,1 ,1.00 ,90.00 ,4.00 ,1 ,0 
形势与政策,1 ,0.50 ,90.00 ,4.00 ,1 ,0 
离散数学,1 ,2.00 ,88.00 ,4.00 ,1 ,0 
线性代数(B),1 ,3.00 ,87.00 ,4.00 ,1 ,0 
高等数学(A)(1),1 ,6.00 ,76.00 ,3.00 ,1 ,0 
程序设计课程设计,2 ,4.00 ,100.00 ,4.00 ,1 ,1 
数学与文化,2 ,2.00 ,97.00 ,4.00 ,0 ,0 
经济学,2 ,2.00 ,93.00 ,4.00 ,0 ,0 
程序设计与数据结构,2 ,5.00 ,93.00 ,4.00 ,1 ,1 
概率统计,2 ,3.00 ,90.00 ,4.00 ,1 ,0 
形势与政策,2 ,0.50 ,90.00 ,4.00 ,1 ,0 
中国近现代史纲要,2 ,2.00 ,89.00 ,4.00 ,1 ,0 
大学物理实验(1),2 ,1.00 ,86.00 ,4.00 ,1 ,0 
软件工程职业素养,2 ,1.00 ,86.00 ,4.00 ,1 ,1 
大学基础英语(2),2 ,3.00 ,85.00 ,4.00 ,1 ,0 
体育(2),2 ,1.00 ,85.00 ,4.00 ,1 ,0 
高等数学(A)(2),2 ,4.00 ,82.00 ,3.00 ,1 ,0 
大学物理(A)(1),2 ,4.00 ,71.00 ,2.00 ,1 ,0 
体育(3),3 ,1.00 ,86.00 ,4.00 ,1 ,0 
大学物理实验(2),3 ,1.00 ,82.00 ,3.00 ,1 ,0 
算法原理,3 ,3.00 ,81.00 ,3.00 ,1 ,1 
大学物理(A)(2),3 ,4.00 ,87.00 ,4.00 ,1 ,0 
